,id,text
0,1401306596056182796,Un que escritor pasó toda su vida sufriendo bajo los poderes de una figura autoritaria que utilizaba la violencia física y psicológica como arma ¿Quién fue Franz Kafka? https://t.co/OjorAtuxPt
1,1401304080283283460,"Muertes Absurdas: Pinkerton, el que se mordió la lengua https://t.co/sxSqfLoOYr"
2,1401297829243637766,"🎬 Clint Eastwood es una de las figuras más emblemáticas de cine, no sólo como actor sino como director, productor, guionista, músico y compositor.  A continuación te presentamos algunos datos curiosos sobre este legendario personaje. https://t.co/Q0jkYEs2R6"
3,1401291495618093060,El revolucionario Pancho Villa https://t.co/QIZOUzKSlx
4,1401282735071707140,"Si te consideras un gurú en la materia, completa esta trivia que pondrá a prueba tus conocimientos y habilidades. ¿Empezamos? https://t.co/Hn6doCyEya"
5,1401276395637125122,🎬 ‘Volver al futuro’ es una de las trilogías más icónicas del cine. Sus ideas y conceptos resultaron innovadores para su época y sorprendieron a muchos. ¡Conoce algunas de sus curiosidades más sorprendentes! https://t.co/7XVI1xAL3Y
6,1401273881063743490,Lo mejor de Federico García Lorca (+Frases) https://t.co/ggkITiAkYR
7,1401267641059262465,¿Eres un gran conocedor de nuestra historia? ¿Crees saber todo sobre la humanidad? Responde estas preguntas y te darás cuenta de lo mucho o lo poco que sabes sobre la historia de la humanidad. https://t.co/kr7yEHIY8Q
8,1401261300248985604,¿Sabes cómo Benjamin Franklin difundió la ciencia moderna? https://t.co/wLlNuXTRkL
9,1401255752845516800,"#PodcastEnEspañol
En este nuevo episodio de #CrónicasDeAres conoce todos los detalles detrás de las Operación Weitsprung: el plan de Hitler para acabar con Stalin, Churchill y Roosevelt.

Escúchalo o léelo aquí 👇
https://t.co/azN1LhrJxc https://t.co/JxFUlmCY8M"
10,1401252551224397825,🤔 ¿Te has preguntado sobre las normas de ortografía al momento de escribir nombres propios? Es hora de que conozcas la verdadera respuesta. https://t.co/Zh5iP3G2d8
11,1401246200863596551,"Franz Kafka fue un abogado y escritor judío-checo, de simbólica e inquietante narrativa. ¡Conoce algunas de sus frases aquí! https://t.co/6VSJMXCaUr"
12,1401243682360135683,#5Jun Un día como hoy: 5 de junio en la historia https://t.co/kNlBzqcVcL
13,1401237453093097476,Aquí te presentamos algunos datos de las uñas que quizás no conocías pero sobre todo determinar ¿por qué crecen? https://t.co/YOWdNGxwLZ
14,1401231097187471365,El (mal) uso de algunas palabras les ha otorgado un significado que no se corresponde con el real. ¿Podrás con esta trivia? https://t.co/sUxtfjWAH4
15,1401222367930617856,"La mitología griega nos cuenta que después de las victorias de Zeus contra los titanes, el dios del rayo aún tuvo que enfrentarse con otro oponente formidable: el terrible Tifón. https://t.co/GH19hFxhWe"
